,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
0,-4469503464110108318,When did the simpsons first air on television?,When did the Simpsons first air on television as an animated short on the Tracey Ullman Show?,Do you mean when it first aired as an animated short or as a half-hour prime time show?,Animated short.,"April 19, 1987"
1,-4469503464110108318,When did the simpsons first air on television?,When did the Simpsons first air as a half-hour prime time show?,Do you mean when it first aired as an animated short or as a half-hour prime time show?,Prime time show.,"December 17, 1989"
2,-6631915997977101143,What is the legal age of marriage in usa?,"What is the legal age of marriage, without parental consent or other authorization, in all but two states in the usa?","Do you want to know about the usual legal age of marriage in Nebraska, Mississippi, or the rest of the US? Or do you want to know about the youngest possible age of marriage in exceptional circumstances?",Usual legal age in the rest of the US.,18 years of age; 18
3,-6631915997977101143,What is the legal age of marriage in usa?,"What is the legal age of marriage, without parental consent or other authorization, in Nebraska?","Do you want to know about the usual legal age of marriage in Nebraska, Mississippi, or the rest of the US? Or do you want to know about the youngest possible age of marriage in exceptional circumstances?",Usual legal age in Nebraska.,19
4,-6631915997977101143,What is the legal age of marriage in usa?,"What is the legal age of marriage, without parental consent or other authorization, in Mississippi?","Do you want to know about the usual legal age of marriage in Nebraska, Mississippi, or the rest of the US? Or do you want to know about the youngest possible age of marriage in exceptional circumstances?",Usual legal age in Mississippi.,21
5,-6631915997977101143,What is the legal age of marriage in usa?,What is youngest legal age of marriage possible in some US states when circumstances permit?,What is youngest legal age of marriage possible in some US states when circumstances permit?,Youngest age in exceptional circumstances.,0
6,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Corie Bratter?,Which barefoot in the park character are you interested in?,Corie Bratter.,Elizabeth Ashley
7,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Victor Velasco?,Which barefoot in the park character are you interested in?,Victor Velasco.,Kurt Kasznar
8,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Mrs. Banks?,Which barefoot in the park character are you interested in?,Mrs. Banks.,Mildred Natwick
9,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Paul Bratter?,Which barefoot in the park character are you interested in?,Paul Bratter.,Robert Redford
10,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Telephone Man?,Which barefoot in the park character are you interested in?,Telephone Man.,Herbert Edelman
11,-3098213414945179817,Who starred in barefoot in the park on broadway?,Who starred in barefoot in the park on broadway as Delivery Man?,Which barefoot in the park character are you interested in?,Delivery Man.,Joseph Keating
12,-927805218867163489,When did the manhattan project began and end?,"Based on the initial thoughts of the project, when did the Manhattan project begin and end?",Do you mean from conception to the end or from the start of active work to the end?,From conception to the end.,"Began 1939, end 1946"
13,-927805218867163489,When did the manhattan project began and end?,"Based on when the project was being worked on, when did the Manhattan project begin and end?",Do you mean from conception to the end or from the start of active work to the end?,From the start of active work to the end.,"Began 1942, end 1946"
14,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national football championship?,Which sport are you interested in?,Football.,1980
15,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national gymnastics championship?,Which sport are you interested in?,Gymnastics.,2009
16,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national baseball championship?,Which sport are you interested in?,Baseball.,1990
17,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national golf championship?,Which sport are you interested in?,Golf.,2005
18,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national women's swimming and diving championship?,Which sport are you interested in?,Women's swimming and diving.,2016
19,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national track and field championship?,Which sport are you interested in?,Track and field.,2018
20,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national tennis championship?,Which sport are you interested in?,Tennis.,2019
21,-3359151041540098032,When was the last time uga won a national championship?,When was the last time UGA won a national equestrian championship?,Which sport are you interested in?,Horse riding.,2014
22,6601536662148726350,Who sing play that funky music white boy?,Who sing play that funky music white boy in 1976?,There are multiple versions of this song from different years. Which year's release are you interested in?,1976.,Rob Parissi
23,6601536662148726350,Who sing play that funky music white boy?,Who sing play that funky music white boy in 1989?,There are multiple versions of this song from different years. Which year's release are you interested in?,1989.,Vanilla Ice
24,6601536662148726350,Who sing play that funky music white boy?,Who sing play that funky music white boy in 1988?,There are multiple versions of this song from different years. Which year's release are you interested in?,1988.,Roxanne
28,-3609553841261159056,Voice of the snake in the jungle book?,Who was the voice of Kaa the snake in the 2016 film The Jungle Book?,"Do you mean the 2016 film, the 1967 one, or the TV series?",The 2016 movie.,Scarlett Johansson
29,-3609553841261159056,Voice of the snake in the jungle book?,Who was the voice of Kaa the snake in the 1967 film The Jungle Book?,"Do you mean the 2016 film, the 1967 one, or the TV series?",The 1967 film.,Sterling Holloway
30,-3609553841261159056,Voice of the snake in the jungle book?,Who was the voice of Kaa in the Jungle Book TV series?,"Do you mean the 2016 film, the 1967 one, or the TV series?",The TV show.,Joseph J Terry
31,4723481094198751540,When did the han solo movie come out?,When did the han solo movie first premiered in Los Angeles?,Do you mean when it first premiered or when it came out to the general audience in the US?,When it premiered.,"May 10, 2018"
32,4723481094198751540,When did the han solo movie come out?,When did the han solo movie came out in United States?,Do you mean when it first premiered or when it came out to the general audience in the US?,When it came out.,"May 25, 2018"
33,6629199459601104475,What is the airport code for abu dhabi?,What is the IATA airport code for Abu Dhabi International Airport?,Do you mean the IATA or the IACO code?,IATA.,AUH
